URL,_id/$oid,address,address line 2,name,outcode,postcode,rating,type_of_food
http://www.just-eat.co.uk/restaurants-bigmamma-bl5/menu,55f14313c7447c3da705248b,89 St George's Avenue,Westhoughton,Big Mamma Pizza & Peri Peri Chicken,BL5,2EZ,5,Chicken
http://www.just-eat.co.uk/restaurants-bigmamma-bl5/menu,55f14313c7447c3da705248c,89 St George's Avenue,Westhoughton,Big Mamma Pizza & Peri Peri Chicken,BL5,2EZ,5,Chicken
http://www.just-eat.co.uk/restaurants-bigmamma-bl5/menu,55f14313c7447c3da705248d,89 St George's Avenue,Westhoughton,Big Mamma Pizza & Peri Peri Chicken,BL5,2EZ,5,Chicken
http://www.just-eat.co.uk/restaurants-big-mammas-ne22/menu,55f14313c7447c3da705248e,4 Palace Road,Bedlington,Big Mammas,NE22,7DR,5,Pizza
http://www.just-eat.co.uk/restaurants-big-mammas/menu,55f14313c7447c3da705248f,5 Harland Place,Stockon-on-Tees,Big Mamma's,TS20,1AL,4.5,Pizza
http://www.just-eat.co.uk/restaurants-BigMansFishNGrillCO1/menu,55f14313c7447c3da7052490,120 High Street,Colchester,Big Man's Fish 'N' Grill,CO1,1SZ,4.5,American
http://www.just-eat.co.uk/restaurants-big-mikes-calypso-kitchen/menu,55f14313c7447c3da7052491,1 Wisen Road,Surrey,Big Mike's Calypso Kitchen,CR8,2NQ,5.5,Caribbean
http://www.just-eat.co.uk/restaurants-big-mos-enfield/menu,55f14313c7447c3da7052492,238 High Street,Enfield,Big Mo's,EN3,4EZ,4.5,American
http://www.just-eat.co.uk/restaurants-big-mos-enfield/menu,55f14313c7447c3da7052493,238 High Street,Enfield,Big Mo's,EN3,4EZ,4.5,American
http://www.just-eat.co.uk/restaurants-big-mos-enfield/menu,55f14313c7447c3da7052494,238 High Street,Enfield,Big Mo's,EN3,4EZ,4.5,American
http://www.just-eat.co.uk/restaurants-bigmouth-sw8/menu,55f14313c7447c3da7052495,Unit 20C 15-17 Ingate Place,London,Big Mouth BBQ,SW8,3NS,5,American
http://www.just-eat.co.uk/restaurants-bigmouth-sw8/menu,55f14313c7447c3da7052496,Unit 20C 15-17 Ingate Place,London,Big Mouth BBQ,SW8,3NS,5,American
http://www.just-eat.co.uk/restaurants-bigmunch-l26/menu,55f14313c7447c3da7052497,Halewood Shopping Centre,Halewood,Big Munch,L26,0AD,4.5,Chicken
http://www.just-eat.co.uk/restaurants-big-n-tasty-north-shields/menu,55f14313c7447c3da7052498,20a Saville Street West,Tyne & Wear,Big N Tasty,NE29,6QR,5,Sandwiches
http://www.just-eat.co.uk/restaurants-bigphillersdeli-ne27/menu,55f14313c7447c3da7052499,Old Club Building,Tyne and Wear,Big Phil'lers Deli,NE27,0EP,5,Breakfast
http://www.just-eat.co.uk/restaurants-bigportionbr1/menu,55f14313c7447c3da705249a,79 Buent Ash Lane,Bromley,Big Portion,BR1,5AA,5,Turkish
http://www.just-eat.co.uk/restaurants-big-portion/menu,55f14313c7447c3da705249b,110 Buttermarket Street,Warrington,Big Portion,WA1,2NZ,5,Turkish
http://www.just-eat.co.uk/restaurants-bigsaj-b32/menu,55f14313c7447c3da705249c,28 Illeybrook Square,Woodgate Vally,Big Saj,B32,3DD,4.5,Pizza
http://www.just-eat.co.uk/restaurants-bigsaj-b12/menu,55f14313c7447c3da705249d,231 Edward Road,Birmingham,Big Saj,B12,9LH,6,Kebab
http://www.just-eat.co.uk/restaurants-bigsaj-b12/menu,55f14313c7447c3da705249e,231 Edward Road,Birmingham,Big Saj,B12,9LH,6,Kebab
http://www.just-eat.co.uk/restaurants-BigSammysLU1/menu,55f14313c7447c3da705249f,13 Upper George Street,Luton,Big Sammys - Pizza Kebab Burger House,LU1,2RD,4.5,Pizza
http://www.just-eat.co.uk/restaurants-big-sams/menu,55f14313c7447c3da70524a0,10 Cowbridge Road,Pontyclun,Big Sam's,CF72,9ED,4.5,English
http://www.just-eat.co.uk/restaurants-BigStar-CF44/menu,55f14313c7447c3da70524a1,36 Bronallt Terrace,Aberdare,Big Star,CF44,6BP,5,Fish & Chips
http://www.just-eat.co.uk/restaurants-bigwok-ab25/menu,55f14313c7447c3da70524a2,411-413 George Street,Aberdeen,Big Wok,AB25,1ER,4.5,Chinese
http://www.just-eat.co.uk/restaurants-bigfellas-pizzeria/menu,55f14313c7447c3da70524a3,Unit 205 Bretton Street,Dewsbury,Bigfellas Pizzeria,WF12,9DB,4.5,Pizza
http://www.just-eat.co.uk/restaurants-bigg-market-chippy-spital-tongues/menu,55f14313c7447c3da70524a4,17 Bigg Market,Newcastle upon Tyne,Bigg Market Chippy,NE1,1UN,5.5,Fish & Chips
http://www.just-eat.co.uk/restaurants-bigg-market-chippy-spital-tongues/menu,55f14313c7447c3da70524a5,17 Bigg Market,Newcastle upon Tyne,Bigg Market Chippy,NE1,1UN,5.5,Fish & Chips
http://www.just-eat.co.uk/restaurants-biggapotcaribbean-b20/menu,55f14313c7447c3da70524a6,15 College Road,Birmingham,Biggapot Caribbean - Collection Only,B20,2HY,6,Caribbean
http://www.just-eat.co.uk/restaurants-biggiesburgers-ls6/menu,55f14313c7447c3da70524a7,42 Royal Park Road,Leeds,Biggie's Burgers,LS6,1HX,4.5,Burgers
http://www.just-eat.co.uk/restaurants-biggiesburgers-ls6/menu,55f14313c7447c3da70524a8,42 Royal Park Road,Leeds,Biggie's Burgers,LS6,1HX,4.5,Burgers
http://www.just-eat.co.uk/restaurants-bikashtandoori-cm8/menu,55f14313c7447c3da70524a9,2 Maldon Road,Essex,Bikash Tandoori,CM8,2AB,5.5,Curry
http://www.just-eat.co.uk/restaurants-bikashtandoori-cm8/menu,55f14313c7447c3da70524aa,2 Maldon Road,Essex,Bikash Tandoori,CM8,2AB,5.5,Curry
http://www.just-eat.co.uk/restaurants-bikkleisland-bs5/menu,55f14313c7447c3da70524ab,402 Stapleton Road,Bristol,Bikkle Island,BS5,6NQ,3.5,Caribbean
http://www.just-eat.co.uk/restaurants-bikkleisland-bs5/menu,55f14313c7447c3da70524ac,402 Stapleton Road,Bristol,Bikkle Island,BS5,6NQ,3.5,Caribbean
http://www.just-eat.co.uk/restaurants-bilalspicewf10/menu,55f14313c7447c3da70524ad,18 Beancroft Road,Castleford,Bilal Spice,WF10,5BW,4.5,Curry
http://www.just-eat.co.uk/restaurants-bilalspicewf10/menu,55f14313c7447c3da70524ae,18 Beancroft Road,Castleford,Bilal Spice,WF10,5BW,4.5,Curry
http://www.just-eat.co.uk/restaurants-bilal-tandoori-auchterarder/menu,55f14313c7447c3da70524af,156 High Street,Perthshire,Bilal Tandoori,PH3,1AD,5.5,Curry
http://www.just-eat.co.uk/restaurants-bilal-tandoori-auchterarder/menu,55f14313c7447c3da70524b0,156 High Street,Perthshire,Bilal Tandoori,PH3,1AD,5.5,Curry
http://www.just-eat.co.uk/restaurants-bilals-ls12/menu,55f14313c7447c3da70524b1,238 Tong Road,Leeds,Bilals,LS12,3BG,5,Curry
http://www.just-eat.co.uk/restaurants-bilalss21/menu,55f14313c7447c3da70524b2,49 Market Street,Sheffield,Bilals,S21,4EG,5.5,Curry
http://www.just-eat.co.uk/restaurants-bilals-bt19/menu,55f14313c7447c3da70524b3,104 Unit 2 Rathgael Road,Bangor,Bilal's,BT19,1RS,5,Curry
http://www.just-eat.co.uk/restaurants-bilals-bt23/menu,55f14313c7447c3da70524b4,86 Frances Street,Newtownards,Bilal's,BT23,7DY,5,Curry
http://www.just-eat.co.uk/restaurants-bilastandoori-tw11/menu,55f14313c7447c3da70524b5,4 Broad Street,Teddington,Bilas Tandoori,TW11,8RF,5.5,Curry
http://www.just-eat.co.uk/restaurants-bilash-nn1/menu,55f14313c7447c3da70524b6,155 Wellingborough Road,Northamptonshire,Bilash,NN1,4DX,4.5,Curry
http://www.just-eat.co.uk/restaurants-bilash/menu,55f14313c7447c3da70524b7,742 Knutsford Road,Latchford,Bilash Indian Takeaway,WA4,1JW,5,Curry
http://www.just-eat.co.uk/restaurants-bill-quay-tandoori/menu,55f14313c7447c3da70524b8,78 Station Road,Gateshead,Bill Quay Tandoori,NE10,0UH,5,Curry
http://www.just-eat.co.uk/restaurants-billals-le4/menu,55f14313c7447c3da70524b9,103 Melton Road,Leicester,Billal's Takeaway,LE4,6QS,5.5,Curry
http://www.just-eat.co.uk/restaurants-billals-le4/menu,55f14313c7447c3da70524ba,103 Melton Road,Leicester,Billal's Takeaway,LE4,6QS,5.5,Curry
http://www.just-eat.co.uk/restaurants-billericaytandoori-cm11/menu,55f14313c7447c3da70524bb,17 Meadow Rise,Essex,Billericay Tandoori,CM11,2DN,4.5,Curry
http://www.just-eat.co.uk/restaurants-billijos-dh7/menu,55f14313c7447c3da70524bc,35 Commercial Street,Durham,Billi Jo's,DH7,8PL,4.5,Pizza
